Date,Open,High,Low,Close,Adj Close,Volume
2022-06-10,43.799999,43.990002,43.290001,43.490002,42.051010,20262400
2022-06-13,43.060001,43.840000,42.889999,43.240002,41.809288,29050800
2022-06-14,43.630001,43.700001,42.570000,42.910000,41.490200,22499100
2022-06-15,43.369999,44.430000,43.099998,43.799999,42.350750,22525100
2022-06-16,42.810001,43.410000,42.810001,43.320000,41.886635,27049000
2022-06-17,43.360001,44.000000,43.240002,43.389999,41.954315,59678600
2022-06-21,43.810001,44.279999,43.700001,44.139999,42.679501,23277900
2022-06-22,43.470001,44.119999,43.169998,43.570000,42.128361,19942300
2022-06-23,43.410000,43.459999,42.720001,42.930000,41.509537,33801700
2022-06-24,43.439999,44.220001,43.240002,44.099998,42.640827,30543800
2022-06-27,44.290001,44.290001,43.630001,43.770000,42.321743,22755300
2022-06-28,43.910000,44.470001,42.990002,43.060001,41.635235,20091300
2022-06-29,43.139999,43.259998,42.689999,42.880001,41.461189,13450800
2022-06-30,42.369999,43.139999,42.189999,42.639999,41.229134,24947900
2022-07-01,42.520000,42.700001,41.570000,42.599998,41.190453,24338500
2022-07-05,41.520000,41.970001,40.820000,41.959999,40.936794,24442600
2022-07-06,42.119999,42.930000,42.009998,42.689999,41.648994,17250400
2022-07-07,42.880001,43.360001,42.790001,43.220001,42.166073,22316700
2022-07-08,43.029999,43.610001,42.939999,43.389999,42.331928,11817000
2022-07-11,43.340000,43.680000,43.070000,43.250000,42.195343,15245200
2022-07-12,43.580002,43.830002,42.660000,42.860001,41.814850,17385300
2022-07-13,41.849998,43.049999,41.799999,42.700001,41.658752,16854200
2022-07-14,41.790001,42.470001,41.349998,42.330002,41.297775,17336200
2022-07-15,42.500000,43.130001,42.500000,43.070000,42.019730,19897800
2022-07-18,43.299999,43.320000,42.410000,42.599998,41.561192,16743800
2022-07-19,42.820000,44.090000,42.650002,44.029999,42.956322,22861400
2022-07-20,44.080002,44.320000,43.660000,44.130001,43.053883,15599200
2022-07-21,44.290001,44.689999,44.070000,44.580002,43.492908,15364600
2022-07-22,44.779999,44.919998,44.250000,44.459999,43.375832,14854600
2022-07-25,44.660000,44.660000,44.110001,44.340000,43.258762,12954700
2022-07-26,44.369999,44.540001,43.750000,43.830002,42.761200,19513000
2022-07-27,44.189999,44.790001,43.830002,44.639999,43.551441,22349000
2022-07-28,44.880001,45.869999,44.709999,45.619999,44.507545,17576200
2022-07-29,45.110001,45.490002,44.830002,45.369999,44.263641,23701700
2022-08-01,45.060001,45.430000,44.759998,45.279999,44.175835,14153400
2022-08-02,45.520000,45.700001,44.900002,44.919998,43.824612,15005400
2022-08-03,44.900002,45.820000,44.790001,45.709999,44.595356,14943800
2022-08-04,45.900002,45.930000,45.009998,45.380001,44.273403,15249300
2022-08-05,44.910000,45.070000,44.540001,45.009998,43.912418,19533900
2022-08-08,45.490002,45.520000,44.860001,45.020000,43.922180,15465600
2022-08-09,45.150002,45.180000,44.720001,44.919998,43.824612,12826200
2022-08-10,45.709999,46.060001,45.430000,46.020000,44.897793,18935400
2022-08-11,46.110001,46.430000,45.770000,45.900002,44.780720,15849000
2022-08-12,46.090000,46.610001,45.970001,46.610001,45.473408,16967600
2022-08-15,46.389999,46.619999,46.029999,46.590000,45.453892,15456100
2022-08-16,46.570000,47.009998,46.439999,46.770000,45.629501,21153700
2022-08-17,46.360001,47.099998,46.230000,46.660000,45.522190,27975600
2022-08-18,49.799999,50.000000,49.110001,49.369999,48.166103,39999900
2022-08-19,49.009998,49.459999,48.540001,48.700001,47.512444,23130400
2022-08-22,48.470001,48.500000,47.520000,47.709999,46.546581,20534100
2022-08-23,47.590000,48.040001,47.389999,47.410000,46.253895,13764600
2022-08-24,47.090000,47.410000,46.869999,47.070000,45.922192,14946500
2022-08-25,47.250000,47.430000,46.840000,47.270000,46.117313,23039300
2022-08-26,47.080002,47.270000,45.880001,45.889999,44.770966,20309800
2022-08-29,45.720001,46.000000,45.490002,45.709999,44.595356,13425700
2022-08-30,45.750000,45.869999,44.959999,45.240002,44.136818,14279100
2022-08-31,45.779999,45.830002,44.590000,44.720001,43.629494,23006100
2022-09-01,44.570000,45.340000,44.400002,45.290001,44.185596,16236400
2022-09-02,45.709999,45.919998,44.279999,44.590000,43.502663,14720900
2022-09-06,44.660000,44.790001,43.980000,44.470001,43.385593,14366100
2022-09-07,44.750000,45.169998,44.349998,45.020000,43.922180,18297400
2022-09-08,44.759998,45.470001,44.619999,45.369999,44.263641,14231500
2022-09-09,45.660000,45.889999,45.400002,45.770000,44.653889,15499300
2022-09-12,46.110001,46.730000,45.970001,46.400002,45.268528,17923000
2022-09-13,45.720001,45.910000,44.020000,44.110001,43.034374,23028600
2022-09-14,44.040001,44.270000,43.560001,43.959999,42.888027,27551500
2022-09-15,43.810001,43.869999,43.090000,43.290001,42.234367,18148600
2022-09-16,43.110001,43.580002,42.790001,43.299999,42.244122,32696100
2022-09-19,42.900002,43.439999,42.759998,43.299999,42.244122,13667500
2022-09-20,43.009998,43.020000,42.259998,42.580002,41.541679,16813900
2022-09-21,42.320000,42.869999,41.570000,41.590000,40.575821,21415900
2022-09-22,41.340000,41.549999,41.139999,41.150002,40.146549,16691000
2022-09-23,41.250000,41.250000,40.119999,40.660000,39.668495,19067700
2022-09-26,40.660000,41.189999,40.369999,40.580002,39.590450,22694800
2022-09-27,41.139999,41.459999,40.230000,40.520000,39.531914,15027900
2022-09-28,40.849998,41.570000,40.590000,41.340000,40.331917,23217700
2022-09-29,41.049999,41.099998,40.150002,40.570000,39.580692,19496400
2022-09-30,40.660000,41.040001,39.959999,40.000000,39.024593,27989900
2022-10-03,40.669998,41.529999,40.470001,41.290001,40.283138,22203600
2022-10-04,41.560001,42.040001,41.389999,41.820000,41.179192,22889400
2022-10-05,41.590000,42.250000,41.400002,41.990002,41.346588,14289700
2022-10-06,41.650002,42.090000,41.369999,41.520000,40.883789,18198800
2022-10-07,41.250000,41.250000,40.080002,40.270000,39.652943,19055400
2022-10-10,40.630001,40.810001,39.599998,39.889999,39.278763,16628400
2022-10-11,39.810001,40.110001,39.270000,39.580002,38.973515,19386400
2022-10-12,39.700001,39.860001,39.250000,39.270000,38.668266,17279900
2022-10-13,39.029999,40.799999,38.599998,40.610001,39.987732,26328300
2022-10-14,40.840000,40.959999,39.919998,40.200001,39.584015,19571000
2022-10-17,41.040001,41.529999,40.950001,41.299999,40.667156,27845200
2022-10-18,41.919998,42.220001,41.259998,41.790001,41.149651,18223300
2022-10-19,41.630001,42.240002,41.470001,41.880001,41.238274,19071700
2022-10-20,41.560001,42.619999,41.459999,41.709999,41.070877,16830500
2022-10-21,41.849998,42.970001,41.810001,42.799999,42.144176,25035000
2022-10-24,43.119999,43.730000,42.900002,43.540001,42.872837,18785300
2022-10-25,43.340000,44.400002,43.200001,44.360001,43.680271,19165200
2022-10-26,44.930000,45.230000,44.279999,44.380001,43.699966,20051000
2022-10-27,44.770000,45.090000,44.360001,44.419998,43.739349,18102500
2022-10-28,44.689999,45.709999,44.650002,45.639999,44.940655,17978300
2022-10-31,45.310001,45.639999,45.060001,45.430000,44.733875,17793700
2022-11-01,45.580002,45.790001,45.060001,45.459999,44.763412,12088700
2022-11-02,45.470001,46.209999,44.549999,44.570000,43.887054,15308800
2022-11-03,44.029999,44.150002,43.389999,43.849998,43.178085,17895600
2022-11-04,44.500000,45.080002,43.830002,44.520000,43.837822,19648700
2022-11-07,44.830002,44.980000,44.410000,44.549999,43.867359,21383000
2022-11-08,44.689999,45.349998,44.180000,44.610001,43.926441,17503100
2022-11-09,44.509998,44.720001,43.889999,43.910000,43.237167,19311700
2022-11-10,45.700001,45.810001,44.650002,45.660000,44.960350,27190100
2022-11-11,45.180000,45.320000,43.919998,44.790001,44.103683,25961800
2022-11-14,44.830002,45.439999,44.680000,44.740002,44.054447,21091300
2022-11-15,45.040001,45.240002,44.450001,44.900002,44.211998,19318000
2022-11-16,44.939999,44.980000,44.299999,44.389999,43.709812,24939600
2022-11-17,46.189999,46.849998,45.160000,46.590000,45.876099,38887800
2022-11-18,46.910000,48.040001,46.860001,47.790001,47.057716,30843200
2022-11-21,47.610001,48.290001,47.560001,47.619999,46.890316,17049500
2022-11-22,48.000000,48.419998,47.759998,48.380001,47.638676,16367800
2022-11-23,48.400002,48.990002,48.320000,48.570000,47.825760,12065600
2022-11-25,48.750000,49.049999,48.349998,48.400002,47.658367,8492600
2022-11-28,48.290001,48.470001,47.919998,48.080002,47.343269,14976600
2022-11-29,48.250000,48.410000,47.840000,48.279999,47.540203,13779300
2022-11-30,48.169998,49.830002,47.959999,49.720001,48.958138,29919700
2022-12-01,49.880001,50.459999,49.689999,49.970001,49.204311,18559500
2022-12-02,49.230000,49.840000,48.919998,49.700001,48.938446,12325100
2022-12-05,49.549999,49.639999,49.169998,49.330002,48.574120,13795900
2022-12-06,49.439999,49.439999,48.259998,48.590000,47.845455,15443800
2022-12-07,48.400002,48.549999,48.060001,48.180000,47.441734,15171700
2022-12-08,48.660000,49.200001,48.619999,48.990002,48.239326,16015800
2022-12-09,49.099998,49.169998,48.439999,48.459999,47.717445,14303200
2022-12-12,48.799999,49.320000,48.369999,49.299999,48.544575,15425300
2022-12-13,50.330002,50.709999,49.230000,49.639999,48.879368,22705900
2022-12-14,49.740002,50.060001,48.820000,49.299999,48.544575,19050400
2022-12-15,48.959999,49.049999,47.740002,48.150002,47.412201,19372500
2022-12-16,47.410000,48.000000,47.080002,47.810001,47.077408,66125400
2022-12-19,47.660000,47.959999,47.139999,47.400002,46.673691,17986300
2022-12-20,47.410000,47.560001,46.790001,47.369999,46.644150,15086200
2022-12-21,47.689999,47.959999,47.419998,47.660000,46.929707,15599400
2022-12-22,47.490002,47.490002,46.689999,47.320000,46.594913,23118500
2022-12-23,47.250000,47.490002,47.009998,47.480000,46.752464,9554400
2022-12-27,47.669998,47.709999,47.220001,47.529999,46.801697,12066200
2022-12-28,47.689999,47.770000,46.980000,47.070000,46.348747,9847400
2022-12-29,47.259998,47.740002,47.259998,47.500000,46.772156,11396500
2022-12-30,47.270000,47.669998,46.950001,47.639999,46.910011,13199800
2023-01-03,47.860001,48.049999,47.310001,47.939999,47.205414,17718900
2023-01-04,48.279999,48.480000,47.169998,47.549999,47.195488,18339800
2023-01-05,47.490002,47.490002,46.759998,46.880001,46.530487,17372100
2023-01-06,47.459999,48.590000,47.279999,48.320000,47.959747,20823000
2023-01-09,48.259998,49.209999,48.220001,48.580002,48.217812,13938000
2023-01-10,48.799999,49.209999,48.590000,48.810001,48.446098,12474400
2023-01-11,48.830002,49.230000,48.700001,49.209999,48.843113,12530900
2023-01-12,49.209999,49.430000,48.849998,49.000000,48.634678,14241700
2023-01-13,48.560001,49.020000,48.419998,48.880001,48.515575,12649300
2023-01-17,48.919998,48.939999,47.950001,48.080002,47.721539,19290800
2023-01-18,48.189999,48.270000,46.889999,46.900002,46.550339,19882200
2023-01-19,46.950001,47.049999,46.389999,46.459999,46.113617,19118600
2023-01-20,46.060001,46.830002,45.669998,46.779999,46.431229,21847200
2023-01-23,46.900002,47.869999,46.810001,47.500000,47.145863,15180500
2023-01-24,47.490002,48.020000,47.060001,47.810001,47.453552,14872700
2023-01-25,47.980000,48.080002,47.230000,47.980000,47.622284,14638700
2023-01-26,48.150002,48.470001,47.830002,48.340000,47.979599,12952700
2023-01-27,48.099998,48.730000,47.970001,48.509998,48.148331,13414800
2023-01-30,48.139999,48.500000,48.119999,48.220001,47.860497,19261900
2023-01-31,48.119999,48.689999,48.049999,48.669998,48.307137,16821600
2023-02-01,48.389999,48.900002,47.509998,48.570000,48.207886,19639400
2023-02-02,48.529999,49.560001,48.360001,49.320000,48.952293,17883800
2023-02-03,49.299999,49.299999,48.509998,48.630001,48.267437,17980000
2023-02-06,48.070000,48.279999,47.520000,47.570000,47.215340,13991600
2023-02-07,47.240002,48.150002,46.970001,47.840000,47.483326,16675200
2023-02-08,47.380001,47.540001,46.770000,46.959999,46.609886,18905500
2023-02-09,47.230000,47.410000,46.430000,46.730000,46.381603,18598400
2023-02-10,46.700001,47.320000,46.639999,47.259998,46.907650,17397300
2023-02-13,47.450001,47.990002,47.389999,47.860001,47.503178,19422100
2023-02-14,47.779999,48.000000,47.180000,47.700001,47.344372,19134400
2023-02-15,47.500000,48.520000,47.330002,48.450001,48.088779,27071200
2023-02-16,49.990002,51.740002,49.799999,50.990002,50.609844,48125300
2023-02-17,51.330002,51.439999,50.599998,50.770000,50.391483,25321400
2023-02-21,50.709999,50.759998,49.619999,49.689999,49.319534,25100500
2023-02-22,49.849998,49.849998,48.889999,49.310001,48.942368,20301900
2023-02-23,49.540001,49.680000,48.549999,49.209999,48.843113,14066200
2023-02-24,48.810001,48.900002,48.169998,48.480000,48.118557,17251600
2023-02-27,48.950001,49.340000,48.549999,48.730000,48.366692,14776400
2023-02-28,48.810001,48.930000,48.380001,48.419998,48.059002,16622400
2023-03-01,48.439999,48.590000,48.020000,48.340000,47.979599,13449300
2023-03-02,48.320000,48.630001,48.119999,48.529999,48.168182,18281800
2023-03-03,48.990002,49.360001,48.820000,49.279999,48.912590,15969900
2023-03-06,49.459999,49.810001,49.240002,49.419998,49.051544,13878400
2023-03-07,49.570000,49.759998,48.630001,48.910000,48.545349,17506600
2023-03-08,49.020000,49.270000,48.740002,49.110001,48.743858,12055500
2023-03-09,49.299999,49.689999,48.709999,48.810001,48.446098,12497700
2023-03-10,48.889999,49.169998,48.299999,48.560001,48.197960,16338200
2023-03-13,48.529999,48.880001,48.119999,48.410000,48.049076,20280800
2023-03-14,48.680000,49.259998,48.509998,49.049999,48.684307,17679600
2023-03-15,48.369999,49.110001,48.369999,49.060001,48.694233,17354900
2023-03-16,48.680000,50.290001,48.509998,50.119999,49.746326,21425100
2023-03-17,50.259998,50.549999,49.740002,50.189999,49.815807,47642700
2023-03-20,50.220001,51.040001,50.009998,50.939999,50.560215,22699700
2023-03-21,51.209999,51.330002,50.330002,50.669998,50.292225,23334000
2023-03-22,50.740002,50.750000,49.419998,49.459999,49.091248,21399400
2023-03-23,49.560001,50.250000,49.410000,49.730000,49.359238,17775400
2023-03-24,49.900002,50.549999,49.500000,50.509998,50.133419,19438800
2023-03-27,50.700001,50.950001,50.480000,50.540001,50.163200,15857200
2023-03-28,50.320000,50.599998,50.270000,50.389999,50.014317,11124300
2023-03-29,50.730000,51.270000,50.639999,51.169998,50.788498,18463400
2023-03-30,51.580002,51.680000,51.130001,51.430000,51.046562,11754600
2023-03-31,51.439999,52.349998,51.389999,52.279999,51.890224,20586300
2023-04-03,52.060001,52.560001,51.990002,52.310001,51.920002,16884600
2023-04-04,52.029999,52.119999,51.430000,51.820000,51.820000,13599900
2023-04-05,52.070000,52.290001,51.680000,51.820000,51.820000,13797900
2023-04-06,50.919998,51.560001,50.730000,51.270000,51.270000,14747900
